,Time,Date,Upload (Mbit/s),Download (Mbit/s),Ping (ms)
356,16:36:57,2016-11-24,13.99,92.49,19.02
357,16:37:27,2016-11-24,14.31,92.08,19.27
358,16:37:57,2016-11-24,14.25,90.85,19.308
359,16:38:27,2016-11-24,14.17,90.61,22.888
360,16:38:57,2016-11-24,14.04,91.76,20.148
361,16:39:27,2016-11-24,14.16,90.64,23.361
362,16:39:57,2016-11-24,14.54,92.32,19.024
363,16:40:27,2016-11-24,14.34,92.47,18.896
364,16:40:57,2016-11-24,14.06,91.68,22.571
365,16:41:27,2016-11-24,13.94,92.22,22.136
366,16:41:57,2016-11-24,14.23,89.86,19.885
367,16:42:27,2016-11-24,10.9,92.29,18.199
368,16:43:00,2016-11-24,13.76,90.3,25.933
369,16:43:30,2016-11-24,14.24,91.77,20.068
370,16:44:00,2016-11-24,14.35,92.2,19.33
371,16:44:30,2016-11-24,14.04,90.51,22.246
372,16:45:01,2016-11-24,13.6,91.5,22.346
373,16:45:31,2016-11-24,13.99,91.69,21.009
374,16:46:01,2016-11-24,9.77,92.41,21.801
375,16:46:35,2016-11-24,13.88,92.19,18.76
376,16:47:05,2016-11-24,13.33,92.24,20.999
377,16:47:35,2016-11-24,13.64,89.07,19.565
378,16:48:05,2016-11-24,14.01,90.66,25.274
379,16:48:35,2016-11-24,13.33,90.69,19.283
380,16:49:05,2016-11-24,13.3,90.53,22.689
381,16:49:35,2016-11-24,10.63,88.17,27.662
382,16:50:06,2016-11-24,14.08,89.84,17.921
383,16:50:35,2016-11-24,14.21,91.61,20.452
384,16:51:05,2016-11-24,13.25,91.1,19.624
385,16:51:36,2016-11-24,13.84,92.65,18.44
386,16:52:05,2016-11-24,13.61,89.87,24.559
387,16:52:36,2016-11-24,13.46,89.31,19.596
388,16:53:05,2016-11-24,13.07,92.58,22.922
389,16:53:36,2016-11-24,13.74,92.03,23.236
390,16:54:05,2016-11-24,13.92,92.05,26.869
391,16:54:39,2016-11-24,13.97,92.16,22.181
392,16:55:11,2016-11-24,13.71,87.18,21.874
393,16:55:41,2016-11-24,14.14,91.79,20.038
394,16:56:13,2016-11-24,14.07,91.76,21.667
395,16:56:43,2016-11-24,14.32,92.4,19.829
396,16:57:13,2016-11-24,14.38,92.23,21.561
397,16:57:43,2016-11-24,14.01,89.93,21.492
398,16:58:12,2016-11-24,13.47,91.39,21.665
399,16:58:47,2016-11-24,13.95,87.7,20.753
400,16:59:17,2016-11-24,14.12,90.52,20.777
401,16:59:47,2016-11-24,12.75,92.85,17.827
402,17:00:17,2016-11-24,10.32,90.89,22.945
403,17:00:49,2016-11-24,14.1,84.78,24.298
404,17:01:19,2016-11-24,13.81,91.54,23.326
405,17:01:49,2016-11-24,13.54,90.99,23.231
406,17:02:19,2016-11-24,14.03,92.86,20.442
407,17:02:49,2016-11-24,13.98,92.87,20.8
408,17:03:19,2016-11-24,13.24,89.72,22.576
409,17:03:49,2016-11-24,13.69,59.71,21.782
410,17:04:19,2016-11-24,14.13,92.64,20.116
411,17:04:49,2016-11-24,14.05,91.9,17.957
412,17:05:21,2016-11-24,14.39,75.13,21.972
413,17:05:53,2016-11-24,14.22,92.59,20.029
414,17:06:23,2016-11-24,13.91,90.7,22.818
415,17:06:53,2016-11-24,14.36,92.39,21.137
416,17:07:23,2016-11-24,14.51,87.05,18.715
417,17:07:53,2016-11-24,14.46,92.27,21.525
418,17:08:23,2016-11-24,14.1,89.43,22.539
419,17:08:54,2016-11-24,14.04,91.57,20.492
420,17:09:23,2016-11-24,13.4,91.77,21.133
421,17:09:53,2016-11-24,13.46,89.64,19.242
422,17:10:23,2016-11-24,12.97,92.48,22.424
423,17:10:53,2016-11-24,13.34,91.59,26.1
424,17:11:24,2016-11-24,13.87,92.65,20.906
425,17:11:56,2016-11-24,14.24,91.82,18.261
426,17:12:25,2016-11-24,14.06,92.21,17.306
427,17:12:56,2016-11-24,14.09,92.62,19.516
428,17:13:25,2016-11-24,14.03,92.09,23.181
429,17:13:55,2016-11-24,13.88,90.63,18.527
430,17:14:26,2016-11-24,13.95,92.42,21.381
431,17:14:55,2016-11-24,14.07,90.22,28.074
432,17:15:25,2016-11-24,13.92,73.08,19.97
433,17:15:57,2016-11-24,14.34,90.04,18.716
434,17:16:27,2016-11-24,13.92,92.61,17.808
435,17:16:57,2016-11-24,13.96,92.51,20.901
436,17:17:27,2016-11-24,14.17,92.42,20.174
437,17:17:57,2016-11-24,14.45,92.51,19.41
438,17:18:26,2016-11-24,13.68,92.04,21.159
439,17:18:57,2016-11-24,13.59,91.68,20.884
440,17:19:26,2016-11-24,14.02,92.78,19.361
441,17:19:56,2016-11-24,14.13,91.3,19.876
442,17:20:26,2016-11-24,13.98,92.02,18.166
443,17:20:56,2016-11-24,14.18,91.07,19.458
444,17:21:26,2016-11-24,13.78,91.26,19.117
445,17:21:56,2016-11-24,13.19,91.95,19.55
446,17:22:28,2016-11-24,13.74,91.77,20.761
447,17:22:58,2016-11-24,13.69,91.57,20.058
448,17:23:28,2016-11-24,13.6,92.32,18.755
449,17:23:59,2016-11-24,13.75,88.73,19.283
450,17:24:29,2016-11-24,13.58,87.21,30.099
451,17:25:04,2016-11-24,14.02,91.68,24.125
452,17:25:34,2016-11-24,14.24,92.05,20.012
453,17:26:05,2016-11-24,13.8,91.84,23.519
454,17:26:35,2016-11-24,14.18,92.6,17.702
455,17:27:05,2016-11-24,13.78,91.82,20.02
456,17:27:34,2016-11-24,14.08,91.07,19.83
457,17:28:05,2016-11-24,13.84,92.07,23.013
458,17:28:35,2016-11-24,14.22,90.4,21.437
459,17:29:05,2016-11-24,13.99,91.86,19.121
460,17:29:36,2016-11-24,12.3,91.89,22.998
461,17:30:06,2016-11-24,9.21,91.42,76.528
462,17:30:43,2016-11-24,7.73,88.89,66.9
463,17:31:15,2016-11-24,8.21,90.37,62.229
464,17:31:47,2016-11-24,6.21,91.56,62.836
465,17:32:18,2016-11-24,8.21,80.52,56.454
466,17:32:50,2016-11-24,14.24,91.38,44.51
467,17:33:24,2016-11-24,14.16,91.33,21.168
468,17:33:54,2016-11-24,14.11,91.77,18.95
469,17:34:24,2016-11-24,13.84,92.27,20.068
470,17:34:54,2016-11-24,14.11,90.48,22.003
471,17:35:24,2016-11-24,13.14,89.54,22.341
472,17:35:53,2016-11-24,14.19,91.48,22.414
473,17:36:23,2016-11-24,13.78,92.48,19.366
474,17:36:53,2016-11-24,14.05,91.63,18.854
475,17:37:23,2016-11-24,14.33,92.32,18.137
476,17:37:53,2016-11-24,13.84,92.35,23.203
477,17:38:23,2016-11-24,14.11,90.97,25.659
478,17:38:53,2016-11-24,14.25,91.75,21.342
479,17:39:22,2016-11-24,14.27,89.66,19.416
480,17:39:53,2016-11-24,14.49,91.57,20.924
481,17:40:22,2016-11-24,13.89,91.99,18.632
482,17:40:55,2016-11-24,14.31,92.24,21.057
483,17:41:25,2016-11-24,13.78,92.31,25.258
484,17:41:55,2016-11-24,14.26,91.53,21.565
485,17:42:25,2016-11-24,13.76,92.27,20.514
486,17:43:01,2016-11-24,13.6,90.41,21.027
487,17:43:31,2016-11-24,14.03,91.7,19.978
488,17:44:01,2016-11-24,14.3,91.62,17.708
489,17:44:31,2016-11-24,14.27,88.53,21.897
490,17:45:01,2016-11-24,14.15,92.39,20.145
491,17:45:31,2016-11-24,14.12,91.75,20.559
492,17:46:00,2016-11-24,14.09,92.37,20.27
493,17:46:30,2016-11-24,14.16,89.24,19.548
494,17:47:00,2016-11-24,13.76,72.95,19.444
495,17:47:32,2016-11-24,13.4,92.41,20.496
496,17:48:02,2016-11-24,13.68,92.41,17.816
497,17:48:32,2016-11-24,13.88,92.27,20.223
498,17:49:04,2016-11-24,13.89,90.04,20.649
499,17:49:34,2016-11-24,13.87,90.4,21.587
500,17:50:07,2016-11-24,14.21,92.12,20.607
501,17:50:37,2016-11-24,14.04,91.89,18.599
502,17:51:07,2016-11-24,14.04,91.05,21.216
503,17:51:37,2016-11-24,14.07,89.19,19.968
504,17:52:07,2016-11-24,14.06,92.02,20.245
505,17:52:37,2016-11-24,13.76,92.59,20.592
506,17:53:07,2016-11-24,13.88,91.11,20.502
507,17:53:37,2016-11-24,14.18,89.88,18.1
508,17:54:08,2016-11-24,13.93,92.01,18.842
509,17:54:38,2016-11-24,14.13,90.04,18.914
510,17:55:08,2016-11-24,14.13,90.5,19.557
511,17:55:37,2016-11-24,14.14,92.08,20.483
512,17:56:11,2016-11-24,13.95,90.45,19.929
513,17:56:41,2016-11-24,14.16,91.52,20.102
